frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
4369,1920,1080,1704138792638585427,1704138792769759949,75,131174522,313,1
4387,1920,1080,1704138795396071894,1704138795531799033,75,135727139,314,1
4388,1920,1080,1704138795591681105,1704138795729782725,75,138101620,315,1
4413,1920,1080,1704138799474036117,1704138799617710085,75,143673968,316,1
4438,1920,1080,1704138803246690939,1704138803378328489,75,131637550,317,1
4489,1920,1080,1704138810832353410,1704138810958517952,75,126164542,318,1
4490,1920,1080,1704138811010945557,1704138811142828455,75,131882898,319,1
4500,1920,1080,1704138812602697905,1704138812736900614,75,134202709,320,1
4538,1920,1080,1704138818741137015,1704138818877948553,80,136811538,321,1
4550,1920,1080,1704138820653633373,1704138820785920962,80,132287589,322,1
4579,1920,1080,1704138824801030536,1704138824942891389,80,141860853,323,1
4580,1920,1080,1704138824995527007,1704138825129282021,80,133755014,324,1
4581,1920,1080,1704138825186094899,1704138825313918876,80,127823977,325,1
4587,1920,1080,1704138826192271358,1704138826326947762,80,134676404,326,1
4592,1920,1080,1704138826913815386,1704138827048678135,80,134862749,327,1
4613,1920,1080,1704138830052068560,1704138830188494407,80,136425847,328,1
4635,1920,1080,1704138833158398404,1704138833285427331,80,127028927,329,1
4637,1920,1080,1704138833513844918,1704138833653258284,80,139413366,330,1
4638,1920,1080,1704138833709396787,1704138833839671583,80,130274796,331,1
4665,1920,1080,1704138838042428837,1704138838183228623,80,140799786,332,1
4683,1920,1080,1704138840655238205,1704138840789746598,80,134508393,333,1
4684,1920,1080,1704138840846520474,1704138840973239381,80,126718907,334,1
4707,1920,1080,1704138844008409433,1704138844147431441,80,139022008,335,1
4717,1920,1080,1704138845453102909,1704138845586881923,80,133779014,336,1
4750,1920,1080,1704138850546530374,1704138850685177691,80,138647317,337,1
4751,1920,1080,1704138850737749305,1704138850879403143,80,141653838,338,1
4764,1920,1080,1704138852863347591,1704138852992951011,80,129603420,339,1
4767,1920,1080,1704138853335814736,1704138853464519432,80,128704696,340,1
4769,1920,1080,1704138853632063219,1704138853768065704,80,136002485,341,1
4770,1920,1080,1704138853818360175,1704138853951943510,80,133583335,342,1
4778,1920,1080,1704138855202500199,1704138855333401699,80,130901500,343,1
4798,1920,1080,1704138858044592515,1704138858171013403,80,126420888,344,1
4800,1920,1080,1704138858348814829,1704138858494833938,80,146019109,345,1
